date,trip,mode,from,to,duration_hr,distance_km,cost_usd,operator,notes
2025-06-16,trip1,flight,Home,Lisbon,,,,,arrival
2025-06-20,trip1,train,Lisbon,Porto,2.8,310,34,CP AP,
2025-06-24,trip1,bus,Porto,Madrid,8.5,565,41,ALSA,overnight
2025-06-28,trip1,train,Madrid,Barcelona,2.6,625,48,Renfe AVE,
2025-07-03,trip1,train,Barcelona,Marseille,4.9,505,39,Ouigo/TER,
2025-07-06,trip1,train,Marseille,Nice,2.6,200,18,TER,
2025-07-09,trip1,train,Nice,Milan,4.8,340,36,Thello/TGV,
2025-07-12,trip1,train,Milan,Venice,2.5,270,25,Trenitalia,
2025-07-15,trip1,bus,Venice,Ljubljana,3.5,240,22,FlixBus,
2025-07-18,trip1,bus,Ljubljana,Zagreb,2.3,140,14,FlixBus,
2025-07-21,trip1,bus,Zagreb,Split,5.5,410,28,FlixBus,
2025-07-26,trip1,bus,Split,Sarajevo,7.0,270,19,Centrotrans,mountain roads
2025-07-30,trip1,bus,Sarajevo,Belgrade,6.5,300,24,FlixBus,
2025-08-03,trip1,bus,Belgrade,Budapest,7.5,380,25,FlixBus,
2025-08-08,trip1,train,Budapest,Vienna,2.6,240,23,OBB RJ,
2025-08-12,trip1,train,Vienna,Prague,4.0,335,18,OBB RJ,
2025-08-15,trip1,flight,Prague,Home,,,,,departure
