date,city,store,note
2025-06-28,Marseille,Fournil l'Européen,
2025-06-29,Marseille,Monop' Daily - Terrasse,
2025-06-29,Marseille,Boulangerie Pâtisserie Giner,
2025-06-29,Marseille,Sandwicherie Lioto,
2025-06-30,Barcelona,Chez L'Italien,
2025-07-01,Barcelona,Fruita Dolça - Badal,
2025-07-02,Barcelona,El Taller - Clot,
2025-07-04,Nice,KOOC TOAST,
2025-07-05,Nice,Paul - Victor Hugo,
2025-07-05,Nice,Paul - Victor Hugo,
2025-07-08,Annecy,La Panière - Annecy,
2025-07-09,Chamonix,La Panière - Chamonix Centre,
2025-07-10,Chamonix,UCPA - Chamonix,
2025-07-12,Interlaken,Caffè Spettacolo - Thun,
2025-07-12,Interlaken,Denner - Lindenallee,
2025-07-13,Interlaken,Volg - Wilderswil,
2025-07-14,Interlaken,Migros - Interlaken,
2025-07-16,Interlaken,TOPOFF Restaurant - Kulturzentrum,
2025-07-17,Mürren,El Murnè Pancafè,
2025-07-18,Milan,Crumb Snack e Café,
2025-07-18,Milan,Rom'antica - Milano Dante,
2025-07-19,Milan,Caffè Napoli - Coni Zugna,
2025-07-19,Milan,Elisir Bistrot Pasticceria,
2025-07-19,Milan,Atipico,
2025-07-20,Florence,+58,
2025-07-21,Florence,Antica Gelateria & Caffè Ermini,cancelled
2025-07-21,Florence,12oz Coffee Joint - Firenze Galleria,
2025-07-21,Florence,Cioccolateria Ballerini,
2025-07-22,Florence,Don Nino Gelateria & Pasticceria,
2025-07-22,Florence,Bar Pasticceria Oltrarno,
2025-07-22,Florence,Feffo's Bar,
2025-07-23,Rome,Ars Panis 1890,
2025-07-23,Rome,Pasticceria La Deliziosa,
2025-07-24,Rome,Gran Caffè Valadier,
2025-07-24,Rome,White Bar,
2025-07-24,Rome,Regola Sette,
2025-07-25,Rome,Alberto's Pizza - San Pietro,
2025-07-26,Rome,Chico Cafe,refunded
2025-07-28,Naples,VyTA Napoli Centrale - Stazione,
2025-07-29,Naples,Carioca Coffee Experience,
2025-07-29,Naples,Caffè Fantastico,
2025-08-06,Kraków,Starbucks Kraków Galeria Krakowska,
2025-08-07,Warsaw,Biedronka - Chmielna 36,
2025-08-08,Warsaw,Costa Coffee - Plac Bankowy,
2025-08-09,Prague,Costa Coffee - Praha hl.n.,
2025-08-09,Prague,PS Coffee - XXL Waffle,
2025-08-10,Prague,Mr. Dick,
2025-08-10,Prague,Café Dortyvšem,
2025-08-11,Prague,Paul - I.P. Pavlova,
2025-08-14,Berlin,Cuccis - Regionalbahn Alexanderplatz,
2025-08-14,Berlin,BackBaron - Unter den Linden,
2025-08-16,Amsterdam,AH to Go - Oosttunnel,
2025-08-16,Amsterdam,LaBoulangerie,
2025-08-19,Paris,Bistrot Baguette - Montmartre,
